Variation ID	Chromosome	Trait	p-Value	Catalogue ID	Risk Allele	Allele Frequency	Population	Region	Genes	Platform	PubMed
rs17696736	chr12	Ischemic stroke	6E-8	rs17696736	None	None	12,389 cases, 62,004 controls	12q24.13	SH2B3	Affymetrix, Illumina [~ 2500000] (imputed)	24262325
rs17696736	chr12	Type 1 diabetes	6E-18	rs17696736	None	None	3,561 European ancestry cases, 4,646 European ancestry controls	12q24.13	C12orf30	Affymetrix [up to 335565]	18978792
rs17696736	chr12	Type 1 diabetes	2E-14	rs17696736	None	0.42	1,963 European ancestry cases, 2,938 European ancestry controls	12q24.13	SH2B3, TRAFD1, PTPN11, LNK	Affymetrix [469557]	17554300
rs17696736	chr12	Type 1 diabetes	2E-16	rs17696736	None	0.42	2,000 European ancestry cases, 3,000 European ancestry controls	12q24.13	C12orf30	Affymetrix [NR]	17554260
rs17696736	chr12	Urate levels	2E-13	rs17696736	None	0.5816	288,649 European ancestry individuals, 125,725 East Asian ancestry individuals, 33,671 African American individuals, 9,037 South Asian ancestry individuals, 608 Hispanic individuals	12q24.13	NAA25	Affymetrix, Illumina [8249849] (imputed)	31578528
rs17696736	chr12	Urate levels	1E-7	rs17696736	None	0.4183	174,111 European, East Asian, African American, South Asian and Hispanic ancestry men, 172,102 European, East Asian, African American, South Asian and Hispanic ancestry women	12q24.13	None	Affymetrix, Illumina [8249849] (imputed)	31578528
rs17696736	chr12	Estimated glomerular filtration rate	3E-8	rs17696736	None	0.5738	567,460 European ancestry individuals	12q24.13	NAA25	Affymetrix, Illumina [8834748] (imputed)	31152163
rs17696736	chr12	Coronary artery disease	8E-11	rs17696736	None	0.428	31,355 European ancestry cases, 377,103 European ancestry controls	12q24.13	NAA25	Affymetrix [28000000] (imputed)	30104761
rs17696736	chr12	Systolic blood pressure x alcohol consumption interaction (2df test)	5E-19	rs17696736	None	0.56	63,608 European ancestry drinkers, 10,193 African American or Afro-Caribbean heavy drinkers,  2,441 Asian ancestry drinkers, 5,084 Hispanic or Latin American drinkers, 27,494 European ancestry non-drinkers, 11,224 African American or Afro-Caribbean non-drinkers, 9,924 Asian ancestry non-drinkers, 3,387 Hispanic or Latin American non-drinkers	12q24.13	NAA25	Affymetrix, Illumina [up to 39321347] (imputed)	29912962
rs17696736	chr12	Mean arterial pressure x alcohol consumption interaction (2df test)	6E-12	rs17696736	None	0.6	91,110 European ancestry drinkers and non-drinkers, 21,416 African American or Afro-Caribbean drinkers and non-drinkers, 12,365 Asian ancestry drinkers and non-drinkers, 8,470 Hispanic or Latin American drinkers and non-drinkers	12q24.13	NAA25	Affymetrix, Illumina [up to 39321347] (imputed)	29912962
rs17696736	chr12	Diastolic blood pressure x alcohol consumption interaction (2df test)	1E-34	rs17696736	None	0.59	63,607 European ancestry drinkers, 10,193 African American or Afro-Caribbean drinkers, 2,441 Asian ancestry drinkers, 5,084 Hispanic or Latin American drinkers, 27,492 European ancestry non-drinkers, 11,223 African American or Afro-Caribbean non-drinkers, 9,924 Asian ancestry non-drinkers, 3,387 Hispanic or Latin American non-drinkers	12q24.13	NAA25	Affymetrix, Illumina [up to 39321347] (imputed)	29912962
rs17696736	chr12	Diastolic blood pressure x alcohol consumption interaction (2df test)	3E-33	rs17696736	None	0.56	63,607 European ancestry drinkers, 10,193 African American or Afro-Caribbean drinkers, 2,441 Asian ancestry drinkers, 5,084 Hispanic or Latin American drinkers, 27,492 European ancestry non-drinkers, 11,223 African American or Afro-Caribbean non-drinkers, 9,924 Asian ancestry non-drinkers, 3,387 Hispanic or Latin American non-drinkers	12q24.13	NAA25	Affymetrix, Illumina [up to 39321347] (imputed)	29912962
rs17696736	chr12	Total cholesterol levels	1E-7	rs17696736	None	None	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	12q24.13	None	Affymetrix [at least 7091467] (imputed)	29507422
rs17696736	chr12	Total cholesterol levels	2E-7	rs17696736	None	0.553	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	12q24.13	None	Affymetrix [at least 7091467] (imputed)	29507422
rs614226	chr12	Type 1 diabetes nephropathy	2E-6	rs614226	rs614226-C	0.83	Up to 2,916 European ancestry Type 1 Diabetes cases with nephropathy, 3,315 European ancestry Type 1 Diabetes cases without nephropathy	12q24.31	RNF10, COQ5	Affymetrix, Illumina [~ 2500000] (imputed)	23028342
rs2085277	chr13	Glycated hemoglobin levels in type 1 diabetes	4E-8	rs2085277	rs2085277-T	0.039	4,622 Finnish ancestry individuals	13q12.3	RXFP2	Illumina [8354674] (imputed)	30674623
rs539514	chr13	Type 1 diabetes	6E-11	rs539514	rs539514-?	0.50	9,934 European ancestry cases, 16,956 European ancestry controls	13q22.2	LMO7	Affymetrix, Illumina [~ 2540000] (imputed)	21980299
rs9585056	chr13	Type 1 diabetes	3E-8	rs9585056	None	0.24	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	13q32.3	GPR183	Illumina [135870]	25751624
rs11839053	chr13	Pediatric autoimmune diseases	1E-6	rs11839053	rs11839053-C	0.02	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	13q33.3	EFNB2	Illumina [7347414] (imputed)	26301688
rs10137082	chr14	Type 1 diabetes	6E-6	rs10137082	rs10137082-?	None	9,934 European ancestry cases, 16,956 European ancestry controls	14q11.2	None	Affymetrix, Illumina [~ 2540000] (imputed)	21980299
rs61983410	chr14	Microalbuminuria in type 1 diabetes	1E-7	rs61983410	rs61983410-C	0.787	2,447 European ancestry cases, 12,113 European ancestry controls	14q12	STXBP6	Illumina [up to 49000000] (imputed)	31537649
rs878889	chr14	Type 1 diabetes nephropathy	8E-7	rs878889	rs878889-A	0.13	Up to 2,916 European ancestry Type 1 Diabetes cases with nephropathy, 3,315 European ancestry Type 1 Diabetes cases without nephropathy	14q22.3	intergenic	Affymetrix, Illumina [~ 2500000] (imputed)	23028342
rs911263	chr14	Asthma	5E-20	rs911263	None	0.29	84,492 European ancestry cases, 2,149 African American cases, 606 Hispanic cases, 1,239 Japanese ancestry cases, 437,036 European ancestry controls, 6,055 African American controls, 792 Hispanic controls, 3,976 Japanese ancestry controls	14q24.1	RAD51B	NR [> 9500000] (imputed)	32296059
rs911263	chr14	Systemic lupus erythematosus	3E-8	rs911263	None	None	6,748 European ancestry cases, 11,516 European ancestry controls, 2,970 African American cases, 2,452 African American controls, 1,872 Hispanic cases, 2,016 Hispanic controls	14q24.1	RAD51B	Illumina [at least 5000000] (imputed)	28714469
rs911263	chr14	Primary biliary cholangitis	2E-9	rs911263	None	0.73	2,764 European ancestry cases, 10,475 European ancestry controls	14q24.1	RAD51L1, RAD51B	Illumina [1143634] (imputed)	26394269
rs911263	chr14	Rheumatoid arthritis (ACPA-positive)	3E-8	rs911263	None	0.72	2,234 Korean ancestry cases, 7,065 Korean ancestry controls, 10,288 European ancestry cases, 35,502 European ancestry controls	14q24.1	RAD51B	Illumina [133816] (imputed)	24532676
rs911263	chr14	Rheumatoid arthritis (ACPA-positive)	2E-6	rs911263	None	None	up to 9,585 European ancestry cases, up to 33,742 European ancestry controls	14q24.1	ACTN1	Illumina [129464] (imputed)	23143596
rs911263	chr14	Primary biliary cirrhosis	1E-10	rs911263	None	0.71	2,861 British and Irish ancestry cases, 8,514 British and Irish ancestry controls	14q24.1	RAD51B	Illumina [237619] (imputed)	22961000
rs911263	chr14	Primary biliary cirrhosis	4E-6	rs911263	None		2,216 European ancestry cases, 5,594 Europen ancestry controls	14q24.1	None	Illumina [109812]	22936693
rs911263	chr14	Primary biliary cholangitis	2E-11	rs911263	None	0.71	1,840 European ancestry cases, 5,163 European ancestry controls and (Liu et al)	14q24.1	RAD51L1	Illumina [507467]	21399635
rs1465788	chr14	Type 1 diabetes	2E-12	rs1465788	None	0.71	7,514 European ancestry cases, 9,045 European ancestry controls	14q24.1	intergenic	Affymetrix, Illumina [841622] (imputed)	19430480
rs113554206	chr14	Macroalbuminuria in type 1 diabetes	5E-7	rs113554206	rs113554206-A	0.012	2,751 European ancestry cases, 12,124 European ancestry controls	14q24.2	PAPLN	Illumina [up to 49000000] (imputed)	31537649
rs1456988	chr14	Type 1 diabetes	3E-8	rs1456988	rs1456988-G	0.27	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	14q32.2	Intergenic	Illumina [135870]	25751624
rs1456988	chr14	Graves' disease	5E-9	rs1456988	rs1456988-?	0.53	1,442 Han Chinese ancestry cases, 1,468 Han Chinese ancestry controls	14q32.2	intergenic	Illumina [8019905] (imputed)	23612905
rs4900384	chr14	Type 1 diabetes	4E-9	rs4900384	rs4900384-G	0.29	7,514 European ancestry cases, 9,045 European ancestry controls	14q32.2	intergenic	Affymetrix, Illumina [841622] (imputed)	19430480
rs941576	chr14	Type 1 diabetes	1E-10	rs941576	rs941576-A	0.57	7,514 European ancestry cases, 9,045 European ancestry controls	14q32.2	DIO3, DLK1, MEG3, RTL1	Affymetrix, Illumina [~ 2600000] (imputed)	19966805
rs56994090	chr14	Type 1 diabetes	1E-11	rs56994090	None	0.59	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	14q32.2	intergenic	Illumina [135870]	25751624
rs8035957	chr15	Type 1 diabetes	4E-6	rs8035957	None	None	563 European ancestry cases, 1,146 European ancestry controls, 483 European ancestry trios	15q14	RASGRP1	Illumina [up to 1000000]	18840781
rs72727394	chr15	Crohn's disease	5E-12	rs72727394	None	None	5,956 European ancestry cases, 14,927 European ancestry controls	15q14	None	Affymetrix, Illumina [~ 9000000] (imputed)	26192919
rs72727394	chr15	Type 1 diabetes	4E-10	rs72727394	None	0.19	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	15q14	RASGRP1	Illumina [135870]	25751624
rs7171171	chr15	Type 1 diabetes	2E-7	rs7171171	None	None	8,506 European ancestry cases, up to 10,596 European ancestry controls	15q14	RASGRP1	Affymetrix, Illumina [NR]	21829393
rs72743477	chr15	Lung function (FEV1/FVC)	1E-14	rs72743477	None	None	approximately 370,000 European ancestry individuals	15q22.33		NR [~ 8900000] (imputed)	30595370
rs72743477	chr15	Pediatric autoimmune diseases	8E-11	rs72743477	None	0.21	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	15q22.33	SMAD3	Illumina [7347414] (imputed)	26301688
rs34593439	chr15	Type 1 diabetes	1E-11	rs34593439	None	0.15	6,670 European ancestry cases, 22,308 European ancestry controls	15q25.1	CTSH	Illumina [252970]	30572963
rs34593439	chr15	Celiac disease	2E-6	rs34593439	None		11,489 European ancestry cases, 22,308 European ancestry controls	15q25.1	CTSH	Illumina [252970]	30572963
rs34593439	chr15	Autoimmune traits (pleiotropy)	1E-14	rs34593439	None	NA	11,489 European ancestry cases with celiac disease, 15,523 European ancestry cases with rheumatoid arthritis, 3,477 European ancestry cases with systemic sclerosis, 6,670 European ancestry cases with type 1 diabetes, 22,308 European ancestry controls	15q25.1	CTSH	Illumina [252970]	30572963
rs34593439	chr15	Blood protein levels	3E-241	rs34593439	None	0.111	3,301 European ancestry individuals	15q25.1	CTSH	Affymetrix [10572788] (imputed)	29875488
rs34593439	chr15	Type 1 diabetes	9E-14	rs34593439	None	0.9	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	15q25.1	CTSH	Illumina [135870]	25751624
rs3825932	chr15	Type 1 diabetes	8E-8	rs3825932	None	None	7,514 European ancestry cases, 9,045 European ancestry controls	15q25.1	CTSH	Affymetrix, Illumina [841622] (imputed)	19430480
rs3825932	chr15	Type 1 diabetes	3E-15	rs3825932	None	0.68	3,561 European ancestry cases, 4,646 European ancestry controls	15q25.1	CTSH	Affymetrix [up to 335565]	18978792
rs12437854	chr15	Type 1 diabetes nephropathy	2E-9	rs12437854	rs12437854-G	0.04	Up to 2,916 European ancestry Type 1 Diabetes cases with nephropathy, 3,315 European ancestry Type 1 Diabetes cases without nephropathy	15q26.1	MCTP2, RGMA	Affymetrix, Illumina [~ 2500000] (imputed)	23028342
rs9934817	chr16	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	8E-6	rs9934817	None	0.019	5,806 European ancestry children	16p13.3	RBFOX1	Illumina [131847]	29310926
rs12708716	chr16	Type 1 diabetes	5E-14	rs12708716	None	None	8,506 European ancestry cases, up to 10,596 European ancestry controls	16p13.13	CLEC16A	Affymetrix, Illumina [NR]	21829393
rs12708716	chr16	Type 1 diabetes	2E-16	rs12708716	None	None	7,514 European ancestry cases, 9,045 European ancestry controls	16p13.13	CLEC16A	Affymetrix, Illumina [841622] (imputed)	19430480
rs12708716	chr16	Type 1 diabetes	7E-13	rs12708716	None	None	3,561 European ancestry cases, 4,646 European ancestry controls	16p13.13	CLEC16A	Affymetrix [up to 335565]	18978792
rs12708716	chr16	Type 1 diabetes	5E-7	rs12708716	None	0.65	1,963 European ancestry cases, 2,938 European ancestry controls	16p13.13	KIAA0350	Affymetrix [469557]	17554300
rs12708716	chr16	Type 1 diabetes	3E-18	rs12708716	None	0.68	2,000 European ancestry cases, 3,000 European ancestry controls	16p13.13	KIAA0350	Affymetrix [NR]	17554260
rs12927355	chr16	Type 1 diabetes	3E-22	rs12927355	None	0.68	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	16p13.13	DEXI	Illumina [135870]	25751624
rs12927355	chr16	Multiple sclerosis	6E-46	rs12927355	None	0.69	14,498 European ancestry cases, 24,091 European ancestry controls	16p13.13	CLEC16A	Illumina [161311]	24076602
rs2903692	chr16	Carotid artery internal diameter	4E-7	rs2903692	None	0.39	3,681 individuals	16p13.13	CLEC16A	Illumina [101597]	26160806
rs2903692	chr16	Carotid artery external diameter	4E-6	rs2903692	None	0.39	3,681 individuals	16p13.13	CLEC16A	Illumina [101597]	26160806
rs2903692	chr16	Type 1 diabetes	7E-11	rs2903692	None	0.62	467 European ancestry trios, 561 European ancestry cases, 1,143 European ancestry controls	16p13.13	KIAA0350	Illumina [543071]	17632545
rs193778	chr16	Type 1 diabetes	4E-10	rs193778	None	0.25	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	16p13.13	DEXI	Illumina [135870]	25751624
rs416603	chr16	Type 1 diabetes	3E-6	rs416603	rs416603-T	0.44	3,561 European ancestry cases, 4,646 European ancestry controls	16p13.13	TNP2, PRM3, C16orf75	Affymetrix [up to 335565]	18978792
rs12444268	chr16	Type 1 diabetes	2E-7	rs12444268	rs12444268-A	0.30	7,514 European ancestry cases, 9,045 European ancestry controls	16p12.3	intergenic	Affymetrix, Illumina [841622] (imputed)	19430480
rs12598357	chr16	Intelligence (MTAG)	2E-13	rs12598357	None	None	120,934 British ancestry individuals, 127,548 individuals	16p12.1	SBK1	Affymetrix [NR]	29326435
rs12598357	chr16	Pediatric autoimmune diseases	4E-9	rs12598357	None	0.39	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	16p12.1	SBK1	Illumina [7347414] (imputed)	26301688
rs151234	chr16	Platelet count	2E-111	rs151234	None	0.13758	721,201 African American or Afro-Caribbean, African ancestry, European ancestry, East Asian ancestry, Hispanic or Latin American and South Asian ancestry individuals	16p12.1	None	Affymetrix, Illumina [24588908] (imputed)	32888493
rs151234	chr16	Mean platelet volume	3E-108	rs151234	None	0.865096	484,042 African American or Afro-Caribbean, African ancestry, European ancestry, East Asian ancestry, Hispanic or Latin American and South Asian ancestry individuals	16p12.1	None	Affymetrix, Illumina [17210439] (imputed)	32888493
rs151234	chr16	Type 1 diabetes	1E-10	rs151234	None	0.129	6,670 European ancestry cases, 22,308 European ancestry controls	16p12.1	CLN3	Illumina [252970]	30572963
rs151234	chr16	Platelet distribution width	1E-10	rs151234	None	0.1311	164,433 European ancestry individuals	16p12.1	CLN3	Affymetrix [~ 2500000] (imputed)	27863252
rs151234	chr16	Type 1 diabetes	5E-11	rs151234	None	0.12	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	16p12.1	IL27	Illumina [135870]	25751624
rs4788084	chr16	Alcohol consumption (drinks per week)	2E-8	rs4788084	None	0.418	up to 357,854 European ancestry individuals	16p11.2	NUPR1	Illumina [~ 250000] (imputed)	30679032
rs4788084	chr16	Type 1 diabetes	1E-8	rs4788084	None	None	8,506 European ancestry cases, up to 10,596 European ancestry controls	16p11.2	IL27	Affymetrix, Illumina [NR]	21829393
rs4788084	chr16	Type 1 diabetes	3E-13	rs4788084	None	0.42	7,514 European ancestry cases, 9,045 European ancestry controls	16p11.2	IL27	Affymetrix, Illumina [841622] (imputed)	19430480
rs12928404	chr16	Hand grip strength	1E-25	rs12928404	None	0.41	223,215 British ancestry individuals	16p11.2	ATXN2L	Affymetrix [15275733] (imputed)	29691431
rs12928404	chr16	Extremely high intelligence	2E-8	rs12928404	None	0.663	1,247 European ancestry cases, 86,493 European ancestry controls	16p11.2	APOBR, ATP2A1, ATXN2L, CCDC101, CLN3, EIF3C, IL27, NUPR1, RABEP2, SH2B1, SULT1A1, SULT1A2, TUFM	Illumina [up to 12595966] (imputed)	29520040
rs12928404	chr16	Albumin-globulin ratio	6E-10	rs12928404	None	None	98,626 Japanese ancestry individuals	16p11.2	ATXN2L	Illumina [6108953] (imputed)	29403010
rs12928404	chr16	Intelligence	4E-8	rs12928404	None	0.5885	up to 58,799 European ancestry adults, up to 19,509 European ancestry children	16p11.2	ATXN2L, NPIPB9, TUFM, SH2B1, ATP2A1	Affymetrix, Illumina [12104294] (imputed)	28530673
rs12928404	chr16	Intelligence	1E-8	rs12928404	None	0.5885	up to 58,799 European ancestry adults, up to 19,509 European ancestry children	16p11.2	ATXN2L, NPIPB9, TUFM, SH2B1, ATP2A1	Affymetrix, Illumina [12104294] (imputed)	28530673
rs12928404	chr16	Pediatric autoimmune diseases	6E-7	rs12928404	None	0.38	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	16p11.2	ATXN2L	Illumina [7347414] (imputed)	26301688
rs77150043	chr16	Pediatric autoimmune diseases	6E-9	rs77150043	rs77150043-T	0.23	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	16q12.1	ADCY7	Illumina [7347414] (imputed)	26301688
rs117372389	chr16	Pediatric autoimmune diseases	8E-11	rs117372389	rs117372389-T	0.02	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	16q12.1	NOD2	Illumina [7347414] (imputed)	26301688
rs72802342	chr16	Type 2 diabetes	6E-38	rs72802342	None	0.9206	148,726 European ancestry cases, 965,732 European ancestry controls	16q23.1	None	Affymetrix, Illumina [1198787] (imputed)	32541925
rs72802342	chr16	Appendicular lean mass	1E-9	rs72802342	None	0.0764647	181,862 European ancestry elderly individuals	16q23.1	None	Affymetrix [17914406] (imputed)	31761296
rs72802342	chr16	Type 2 diabetes	4E-32	rs72802342	None	0.9231	74,124 European ancestry cases, 824,006 European ancestry controls	16q23.1	BCAR1	Affymetrix, Illumina [~ 27000000] (imputed)	30297969
rs72802342	chr16	Blood protein levels	9E-20	rs72802342	None	0.083	3,301 European ancestry individuals	16q23.1	CTRB2	Affymetrix [10572788] (imputed)	29875488
rs72802342	chr16	Advanced age-related macular degeneration	5E-12	rs72802342	None	None	16,144 European ancestry cases, 17,832 European ancestry controls	16q23.1	CTRB2, CTRB1, BCAR1	Illumina [12023830] (imputed)	26691988
rs7202877	chr16	Type 2 diabetes	5E-10	rs7202877	None	0.1034	6,353 South Asian ancestry cases, 7,179 South Asian ancestry controls, 3,871 European ancestry cases, 16,427 European ancestry controls, 34,840 cases, 114,981 controls	16q23.1	CTRB1/2	Affymetrix, Illumina [NR] (imputed)	28869590
rs7202877	chr16	Type 2 diabetes	4E-6	rs7202877	None	0.1034	6,353 South Asian ancestry cases, 7,179 South Asian ancestry controls, 3,871 European ancestry cases, 16,427 European ancestry controls, 34,840 cases, 114,981 controls	16q23.1	CTRB1/2	Affymetrix, Illumina [NR] (imputed)	28869590
rs7202877	chr16	Type 2 diabetes	7E-8	rs7202877	None	None	6,377 European ancestry male cases, 5,794 European ancestry female cases, 22,243 European ancestry male controls, 34,619 European ancestry female controls	16q23.1	BCAR1	Affymetrix, Illumina [up to 2500000] (imputed)	22885922
rs7202877	chr16	Type 2 diabetes	4E-8	rs7202877	None	0.890915967077822	6,377 European ancestry male cases, 5,794 European ancestry female cases, 22,243 European ancestry male controls, 34,619 European ancestry female controls	16q23.1	BCAR1	Affymetrix, Illumina [up to 2500000] (imputed)	22885922
rs7202877	chr16	Type 1 diabetes	3E-15	rs7202877	None	0.10	7,514 European ancestry cases, 9,045 European ancestry controls	16q23.1	intergenic	Affymetrix, Illumina [841622] (imputed)	19430480
rs8056814	chr16	Type 1 diabetes	3E-19	rs8056814	None	0.07	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	16q23.1	BCAR1	Illumina [135870]	25751624
rs34319244	chr17	Coronary artery disease in type 1 diabetes	3E-6	rs34319244	None	0.44	434 European ancestry cases with coronary artery disease, 3,123 European ancestry cases without coronary artery disease	17p13.2	SPNS3	Illumina [6728637] (imputed)	29695241
rs61759532	chr17	White blood cell count	8E-28	rs61759532	rs61759532-T	0.197914	746,667 African American or Afro-Caribbean, African ancestry, European ancestry, East Asian ancestry, Hispanic or Latin American and South Asian ancestry individuals	17p13.1	None	Affymetrix, Illumina [24649327] (imputed)	32888493
rs61759532	chr17	Neutrophil count	3E-20	rs61759532	rs61759532-T	0.212491	627,215 African American or Afro-Caribbean, African ancestry, European ancestry, East Asian ancestry, Hispanic or Latin American and South Asian ancestry individuals	17p13.1	None	Affymetrix, Illumina [23114412] (imputed)	32888493
rs61759532	chr17	Autoimmune thyroid disease	1E-15	rs61759532	rs61759532-T	0.238	30,234 European ancestry cases, 724,172 European ancestry controls	17p13.1	ACAP1	Affymetrix, Illumina [42900000] (imputed)	32581359
rs61759532	chr17	White blood cell count	4E-17	rs61759532	rs61759532-?	None	approximately 444,000 European ancestry individuals	17p13.1		NR [~ 8900000] (imputed)	30595370
rs61759532	chr17	Hypothyroidism	4E-14	rs61759532	rs61759532-?	None	approximately 459,000 European ancestry individuals	17p13.1		NR [~ 8900000] (imputed)	30595370
rs16956936	chr17	Type 1 diabetes	5E-7	rs16956936	None	0.86	7,514 European ancestry cases, 9,045 European ancestry controls	17p13.1	intergenic	Affymetrix, Illumina [841622] (imputed)	19430480
rs2941522	chr17	Asthma (moderate or severe)	2E-12	rs2941522	rs2941522-T	0.4829	5,135 European ancestry cases, 25,675 European ancestry controls	17q12	IKZF3	Affymetrix [33771858] (imputed)	30552067
rs12232497	chr17	Mouth ulcers	4E-17	rs12232497	None	0.48220300000000005	47,079 British or unknown ancestry cases, 414,027 British or unknown ancestry controls	17q21.1		Affymetrix, Illumina [9851866] (imputed)	30837455
rs12232497	chr17	Pediatric autoimmune diseases	3E-7	rs12232497	None	0.45	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	17q21.1	IKZF3	Illumina [7347414] (imputed)	26301688
rs2872507	chr17	Rheumatoid arthritis (ACPA-positive)	3E-9	rs2872507	None	0.47	up to 9,585 European ancestry cases, up to 33,742 European ancestry controls	17q21.1	IKZF3, GSDMB, ORMDL3	Illumina [129464] (imputed)	23143596
rs2872507	chr17	Type 1 diabetes	2E-6	rs2872507	None	None	8,506 European ancestry cases, up to 10,596 European ancestry controls	17q21.1	ORMDL3	Affymetrix, Illumina [NR]	21829393
rs2872507	chr17	Ulcerative colitis	5E-11	rs2872507	None	0.46	6,687 European ancestry cases, 19,718 European ancestry controls	17q21.1	GSDML, IKZF3, ZPBP2, ORMDL3, PNMT	Affymetrix, Illumina [~ 1100000] (imputed)	21297633
rs2872507	chr17	Crohn's disease	2E-9	rs2872507	None	0.458	6,333 European ancestry cases, 15,056 European ancestry controls	17q21.1	IKZF3, GSMDL, ZPBP2, ORMDL3	Affymetrix, Illumina [953241] (imputed)	21102463
rs2872507	chr17	Rheumatoid arthritis	9E-7	rs2872507	None	0.47	5,539 European ancestry cases, 20,169 European ancestry controls	17q21.1	IKZF3	Affymetrix, Illumina [~ 2716259] (imputed)	20453842
rs2872507	chr17	Crohn's disease	5E-9	rs2872507	None	0.47	3,230 European ancestry cases, 4,829 European ancestry controls	17q21.1	ORMDL3	Affymetrix, Illumina [635547] (imputed)	18587394
rs12453507	chr17	Type 1 diabetes	1E-8	rs12453507	rs12453507-G	0.51	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	17q21.1	IKZF3, ORMDL3, GSDMB	Illumina [135870]	25751624
rs2290400	chr17	Acute lymphoblastic leukemia (childhood)	1E-9	rs2290400	None	None	1,949 Latino cases, 8,584 Latino controls, 1,184 European ancestry cases, 3551 European ancestry controls, 130 African American cases, 3,842 African American controls	17q21.1	IKZF3	Affymetrix [757935]	29348612
